"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,1,12110101,"arvore_cp_0.005_profundidade_3",0.005,3,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.785669390320553,0.185354045069704,0.590679537127085,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,2,12110102,"arvore_cp_0.005_profundidade_3",0.005,3,0.728395061728395,0.540540540540541,0.886363636363636,0.8,0.645161290322581,0.460355765335279,0.80036855036855,0.18515886919654,0.570938591268357,0.713452088452089,20,39,5,17,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,3,12110103,"arvore_cp_0.005_profundidade_3",0.005,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.833845208845209,0.151135187069595,0.472854535508808,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,1,12110201,"arvore_cp_0.01_profundidade_3",0.01,3,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.785669390320553,0.185354045069704,0.590679537127085,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,2,12110202,"arvore_cp_0.01_profundidade_3",0.01,3,0.728395061728395,0.540540540540541,0.886363636363636,0.8,0.645161290322581,0.460355765335279,0.80036855036855,0.18515886919654,0.570938591268357,0.713452088452089,20,39,5,17,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,3,12110203,"arvore_cp_0.01_profundidade_3",0.01,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.833845208845209,0.151135187069595,0.472854535508808,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,1,12110301,"arvore_cp_0.02_profundidade_3",0.02,3,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.785669390320553,0.185354045069704,0.590679537127085,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,2,12110302,"arvore_cp_0.02_profundidade_3",0.02,3,0.728395061728395,0.540540540540541,0.886363636363636,0.8,0.645161290322581,0.460355765335279,0.80036855036855,0.18515886919654,0.570938591268357,0.713452088452089,20,39,5,17,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,3,12110303,"arvore_cp_0.02_profundidade_3",0.02,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.833845208845209,0.151135187069595,0.472854535508808,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,1,12110401,"arvore_cp_0.005_profundidade_5",0.005,5,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.785669390320553,0.185354045069704,0.590679537127085,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,2,12110402,"arvore_cp_0.005_profundidade_5",0.005,5,0.753086419753086,0.675675675675676,0.818181818181818,0.757575757575758,0.714285714285714,0.500669643157225,0.800061425061425,0.187668759093372,0.578636733191284,0.746928746928747,25,36,8,12,0,0
