"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero","Tempo_Selecao_Segundos","Tempo_Reajuste_Segundos","Tempo_Predicao_Segundos","Tempo_Total_Fold_Segundos","Status"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,20260804,310101,12110499,242,61,"arvore_cp_0.005_profundidade_5",0.550688490772039,0.901639344262295,0.892857142857143,0.909090909090909,0.892857142857143,0.892857142857143,0.801948051948052,0.899350649350649,0.101641017176283,0.358213421866908,0.900974025974026,25,30,3,3,0,0,0.206815958023071,0.0029139518737793,0.00199103355407715,0.21274209022522,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,20260804,310102,12120199,242,61,"arvore_cp_0.005_profundidade_3",0.510199348291991,0.754098360655738,0.75,0.757575757575758,0.724137931034483,0.736842105263158,0.506480662971917,0.797077922077922,0.185016040181546,0.560432578058838,0.753787878787879,21,25,8,7,0,0,0.114120960235596,0.00214505195617676,0.00171613693237305,0.118925094604492,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,20260804,310103,12130499,243,60,"arvore_cp_0.005_profundidade_5",0.676310510926842,0.783333333333333,0.642857142857143,0.90625,0.857142857142857,0.73469387755102,0.574340110047539,0.759486607142857,0.197183588786542,0.66408806749058,0.774553571428571,18,29,3,10,0,0,0.113165855407715,0.00225186347961426,0.00170111656188965,0.118096113204956,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,20260804,310104,12140499,243,60,"arvore_cp_0.005_profundidade_5",0.555052603470305,0.833333333333333,0.925925925925926,0.757575757575758,0.757575757575758,0.833333333333333,0.683501683501683,0.835016835016835,0.147693695966045,0.48962529032159,0.841750841750842,25,25,8,2,0,0,0.120500087738037,0.00218605995178223,0.0018928050994873,0.12562108039856,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,5,20260804,310105,12150199,242,61,"arvore_cp_0.005_profundidade_3",0.559146854408117,0.688524590163934,0.571428571428571,0.787878787878788,0.695652173913043,0.627450980392157,0.369442097924133,0.68452380952381,0.244888765180753,0.735016557519755,0.67965367965368,16,26,7,12,0,0,0.108999013900757,0.0021209716796875,0.00164008140563965,0.113761901855469,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,1,20260805,310201,12210499,243,60,"arvore_cp_0.005_profundidade_5",0.576851464053317,0.716666666666667,0.592592592592593,0.818181818181818,0.727272727272727,0.653061224489796,0.424071508063766,0.774410774410774,0.205020344028838,2.26286979681585,0.705387205387205,16,27,6,11,0,0,0.109853029251099,0.0022130012512207,0.00162410736083984,0.114631175994873,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,20260805,310202,12220199,242,61,"arvore_cp_0.005_profundidade_3",0.550490604784243,0.737704918032787,0.642857142857143,0.818181818181818,0.75,0.692307692307692,0.470291501277767,0.76461038961039,0.202456540009748,0.620557961427877,0.730519480519481,18,27,6,10,0,0,0.112926959991455,0.00209498405456543,0.00161981582641602,0.117539167404175,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,20260805,310203,12230199,242,61,"arvore_cp_0.005_profundidade_3",0.535762309419759,0.836065573770492,0.785714285714286,0.878787878787879,0.846153846153846,0.814814814814815,0.669594209577161,0.877164502164502,0.133512680916524,0.432333922286869,0.832251082251082,22,29,4,6,0,0,0.107690811157227,0.00209403038024902,0.00172686576843262,0.112575054168701,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,4,20260805,310204,12240699,243,60,"arvore_cp_0.02_profundidade_5",0.527271357018547,0.766666666666667,0.857142857142857,0.6875,0.705882352941177,0.774193548387097,0.548327067288672,0.8125,0.183176912989971,0.582388570208467,0.772321428571429,24,22,10,4,0,0,0.116797924041748,0.00229001045227051,0.00168609619140625,0.121884107589722,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,5,20260805,310205,12250199,242,61,"arvore_cp_0.005_profundidade_3",0.55058545939801,0.819672131147541,0.714285714285714,0.909090909090909,0.869565217391304,0.784313725490196,0.640959784350304,0.862554112554113,0.143755304557371,0.454054170688041,0.811688311688312,20,30,3,8,0,0,0.11274790763855,0.00215911865234375,0.00180602073669434,0.117578983306885,"completo"
