"Protocolo","Execucao","Base","Algoritmo","Metrica","Media","DP","N_Avaliacoes","Unidade_Agregacao"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Acuracia",0.774517304189435,0.0566348662938562,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Sensibilidade",0.736331569664903,0.110310375810313,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Especificidade",0.80675505050505,0.0809775508916816,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Precisao",0.768934742583838,0.0721546825006672,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","F1",0.747313576230766,0.0701576139525218,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","MCC",0.550443639229133,0.115482814956135,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","ROC_AUC",0.804859357463524,0.053599967942935,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Brier",0.176736591148353,0.0363490998646484,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Log_Loss",0.66515299068832,0.452653246273807,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Acuracia_Balanceada",0.771543310084977,0.0585480649095342,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Tempo_Selecao_Segundos",0.119945557912191,0.0243055835369054,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Tempo_Reajuste_Segundos",0.00227227210998535,0.00021734349534402,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Tempo_Predicao_Segundos",0.00180304845174154,0.000266876071598159,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees","Tempo_Total_Fold_Segundos",0.125020265579224,0.0245535046862633,15,"fold_externo"
