"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","laplace","usar_kernel","ajuste"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,20260804,310101,11110199,242,61,"gaussiano",0.65645790796448,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,20260804,310102,11120199,242,61,"gaussiano",0.659294917969082,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,20260804,310103,11130199,243,60,"gaussiano",0.727449677940011,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,20260804,310104,11140199,243,60,"gaussiano",0.662047711330269,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,20260804,310105,11150199,242,61,"gaussiano",0.656037495478184,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,20260805,310201,11210299,243,60,"kde",0.688424853953726,1,TRUE,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,20260805,310202,11220199,242,61,"gaussiano",0.696831951272467,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,20260805,310203,11230199,242,61,"gaussiano",0.676562384510643,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,20260805,310204,11240199,243,60,"gaussiano",0.669726010930484,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,20260805,310205,11250199,242,61,"gaussiano",0.642903103069882,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,20260806,310301,11310199,242,61,"gaussiano",0.684464856885924,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,20260806,310302,11320199,243,60,"gaussiano",0.645843618252171,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,20260806,310303,11330299,242,61,"kde",0.683962305433384,1,TRUE,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,4,20260806,310304,11340199,242,61,"gaussiano",0.675542575393312,1,FALSE,NA
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,5,20260806,310305,11350199,243,60,"gaussiano",0.647402521581347,1,FALSE,NA
