"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero","Tempo_Selecao_Segundos","Tempo_Reajuste_Segundos","Tempo_Predicao_Segundos","Tempo_Total_Fold_Segundos","Status"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,20260804,310101,11110199,242,61,"gaussiano",0.65645790796448,0.868852459016393,0.821428571428571,0.909090909090909,0.884615384615385,0.851851851851852,0.736117412808768,0.916666666666667,0.113779439343335,0.545639752650531,0.86525974025974,23,30,3,5,0,0,0.12055492401123,0.00145697593688965,0.000843048095703125,0.12388801574707,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,20260804,310102,11120199,242,61,"gaussiano",0.659294917969082,0.819672131147541,0.785714285714286,0.848484848484849,0.814814814814815,0.8,0.636268304897979,0.901515151515151,0.141989628665741,0.49287218131572,0.817099567099567,22,28,5,6,0,0,0.04544997215271,0.0015408992767334,0.000839948654174805,0.0490791797637939,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,20260804,310103,11130199,243,60,"gaussiano",0.727449677940011,0.783333333333333,0.678571428571429,0.875,0.826086956521739,0.745098039215686,0.568019037527311,0.876116071428571,0.171500370271509,0.696967513853983,0.776785714285714,19,28,4,9,0,0,0.0420770645141602,0.00150513648986816,0.000894069671630859,0.045598030090332,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,20260804,310104,11140199,243,60,"gaussiano",0.662047711330269,0.883333333333333,1,0.787878787878788,0.794117647058823,0.885245901639344,0.790992066456966,0.962962962962963,0.100412179825101,0.340386216501265,0.893939393939394,27,26,7,0,0,0,0.042529821395874,0.00141286849975586,0.000856161117553711,0.046022891998291,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,20260804,310105,11150199,242,61,"gaussiano",0.656037495478184,0.819672131147541,0.714285714285714,0.909090909090909,0.869565217391304,0.784313725490196,0.640959784350304,0.899350649350649,0.137302567097568,0.491418381564903,0.811688311688312,20,30,3,8,0,0,0.0432989597320557,0.00131893157958984,0.000770092010498047,0.0464498996734619,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,20260805,310201,11210299,243,60,"kde",0.688424853953726,0.8,0.740740740740741,0.848484848484849,0.8,0.769230769230769,0.594588390010563,0.892255892255892,0.155807362903099,0.542186137692516,0.794612794612795,20,28,5,7,0,0,0.0415661334991455,0.00630092620849609,0.000972986221313477,0.0499961376190186,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,20260805,310202,11220199,242,61,"gaussiano",0.696831951272467,0.836065573770492,0.857142857142857,0.818181818181818,0.8,0.827586206896552,0.673142683593836,0.903679653679654,0.12445402561781,0.583042837523857,0.837662337662338,24,27,6,4,0,0,0.0379769802093506,0.0013580322265625,0.000771999359130859,0.041172981262207,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,20260805,310203,11230199,242,61,"gaussiano",0.676562384510643,0.819672131147541,0.821428571428571,0.818181818181818,0.793103448275862,0.807017543859649,0.63823043031216,0.913419913419913,0.131760572039057,0.507490702351289,0.819805194805195,23,27,6,5,0,0,0.0422239303588867,0.00130915641784668,0.000756978988647461,0.0451951026916504,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,20260805,310204,11240199,243,60,"gaussiano",0.669726010930484,0.866666666666667,0.857142857142857,0.875,0.857142857142857,0.857142857142857,0.732142857142857,0.928571428571429,0.11836947863448,0.434583409375521,0.866071428571429,24,28,4,4,0,0,0.0413339138031006,0.00133204460144043,0.000787973403930664,0.0444841384887695,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,20260805,310205,11250199,242,61,"gaussiano",0.642903103069882,0.836065573770492,0.714285714285714,0.939393939393939,0.909090909090909,0.8,0.678355435247432,0.923160173160173,0.131393270664519,0.501573181286815,0.826839826839827,20,31,2,8,0,0,0.0404279232025146,0.00131106376647949,0.000760078430175781,0.0450370311737061,"completo"
