"Protocolo","Execucao","Base","Algoritmo","Metrica","Media","DP","N_Avaliacoes","Unidade_Agregacao"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Acuracia",0.832805100182149,0.030442018979823,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Sensibilidade",0.798853615520282,0.0813318699559367,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Especificidade",0.861805555555556,0.0469851681392928,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Precisao",0.833545571039501,0.0432396460614534,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","F1",0.812787966835455,0.0391453853576669,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","MCC",0.666746939570579,0.0646367103545876,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","ROC_AUC",0.909977002164502,0.0215187847747019,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Brier",0.132523637943666,0.0184435690943977,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Log_Loss",0.517010500777554,0.0875878168600388,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Acuracia_Balanceada",0.830329585537919,0.0330699606189184,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Tempo_Selecao_Segundos",0.0481809139251709,0.0202184488200793,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Tempo_Reajuste_Segundos",0.00221586227416992,0.00185289104437802,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Tempo_Predicao_Segundos",0.00103675524393717,0.000673421224011927,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes","Tempo_Total_Fold_Segundos",0.0526310284932454,0.0200073145530567,15,"fold_externo"
