"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","numero_arvores","variaveis_por_divisao"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,20260804,310101,13110199,242,61,"rf_300_arvores_mtry_3",0.612586497633484,300,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,20260804,310102,13120499,242,61,"rf_500_arvores_mtry_4",0.594297835329843,500,4
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,20260804,310103,13130499,243,60,"rf_500_arvores_mtry_4",0.744020560964338,500,4
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,20260804,310104,13140299,243,60,"rf_500_arvores_mtry_3",0.604217579847795,500,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,20260804,310105,13150299,242,61,"rf_500_arvores_mtry_3",0.716148052767643,500,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,20260805,310201,13210499,243,60,"rf_500_arvores_mtry_4",0.651844370476393,500,4
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,20260805,310202,13220299,242,61,"rf_500_arvores_mtry_3",0.677208625434316,500,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,20260805,310203,13230399,242,61,"rf_300_arvores_mtry_4",0.630270018152854,300,4
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,20260805,310204,13240499,243,60,"rf_500_arvores_mtry_4",0.624321955574555,500,4
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,20260805,310205,13250199,242,61,"rf_300_arvores_mtry_3",0.659378159000099,300,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,1,20260806,310301,13310299,242,61,"rf_500_arvores_mtry_3",0.601271391148787,500,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,2,20260806,310302,13320199,243,60,"rf_300_arvores_mtry_3",0.621444752638193,300,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,3,20260806,310303,13330299,242,61,"rf_500_arvores_mtry_3",0.667955145480897,500,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,4,20260806,310304,13340199,242,61,"rf_300_arvores_mtry_3",0.651380951602851,300,3
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,5,20260806,310305,13350399,243,60,"rf_300_arvores_mtry_4",0.6361692645066,300,4
