"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","numero_arvores","variaveis_por_divisao","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,1,13110101,"rf_300_arvores_mtry_3",300,3,0.7875,0.756756756756757,0.813953488372093,0.777777777777778,0.767123287671233,0.571969894057108,0.870521684475173,0.146784561568891,0.451127923322136,0.785355122564425,28,35,8,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,2,13110102,"rf_300_arvores_mtry_3",300,3,0.777777777777778,0.783783783783784,0.772727272727273,0.743589743589744,0.763157894736842,0.554809704145311,0.904176904176904,0.134198575954988,0.416192524318711,0.778255528255528,29,34,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,3,13110103,"rf_300_arvores_mtry_3",300,3,0.851851851851852,0.72972972972973,0.954545454545455,0.931034482758621,0.818181818181818,0.710979894698032,0.937346437346437,0.108510411589428,0.356545877384596,0.842137592137592,27,42,2,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,1,13110201,"rf_500_arvores_mtry_3",500,3,0.7625,0.783783783783784,0.744186046511628,0.725,0.753246753246753,0.526482821092095,0.86926461345066,0.148722493495385,0.456623170677716,0.763984915147706,29,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,2,13110202,"rf_500_arvores_mtry_3",500,3,0.777777777777778,0.783783783783784,0.772727272727273,0.743589743589744,0.763157894736842,0.554809704145311,0.908476658476658,0.131924596626273,0.412351732087153,0.778255528255528,29,34,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,3,13110203,"rf_500_arvores_mtry_3",500,3,0.851851851851852,0.72972972972973,0.954545454545455,0.931034482758621,0.818181818181818,0.710979894698032,0.935503685503685,0.111643817354745,0.363920724982039,0.842137592137592,27,42,2,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,1,13110301,"rf_300_arvores_mtry_4",300,4,0.7625,0.72972972972973,0.790697674418605,0.75,0.73972602739726,0.521576070792165,0.86046511627907,0.152022208317001,0.464726105206054,0.760213702074167,27,34,9,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,2,13110302,"rf_300_arvores_mtry_4",300,4,0.765432098765432,0.756756756756757,0.772727272727273,0.736842105263158,0.746666666666667,0.528511010537166,0.886977886977887,0.139388390173961,0.425463027242263,0.764742014742015,28,34,10,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,3,13110303,"rf_300_arvores_mtry_4",300,4,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.92997542997543,0.112365762043077,0.364399766996504,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,1,13110401,"rf_500_arvores_mtry_4",500,4,0.775,0.756756756756757,0.790697674418605,0.756756756756757,0.756756756756757,0.547454431175361,0.865493400377121,0.148974022108844,0.460436424472789,0.773727215587681,28,34,9,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,2,13110402,"rf_500_arvores_mtry_4",500,4,0.790123456790123,0.783783783783784,0.795454545454545,0.763157894736842,0.773333333333333,0.578173878116645,0.896805896805897,0.1349890756797,0.416786823573138,0.789619164619165,29,35,9,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,3,13110403,"rf_500_arvores_mtry_4",500,4,0.827160493827161,0.72972972972973,0.909090909090909,0.870967741935484,0.794117647058823,0.654696908142438,0.926289926289926,0.112025551609822,0.363029305087005,0.819410319410319,27,40,4,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,1,13120101,"rf_300_arvores_mtry_3",300,3,0.7875,0.783783783783784,0.790697674418605,0.763157894736842,0.773333333333333,0.573580875334497,0.878692646134507,0.139734147247632,0.437676770784626,0.787240729101194,29,34,9,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,2,13120102,"rf_300_arvores_mtry_3",300,3,0.802469135802469,0.783783783783784,0.818181818181818,0.783783783783784,0.783783783783784,0.601965601965602,0.874078624078624,0.144592162901217,0.441345076929897,0.800982800982801,29,36,8,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,3,13120103,"rf_300_arvores_mtry_3",300,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.899262899262899,0.130140727291269,0.411406016575799,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,1,13120201,"rf_500_arvores_mtry_3",500,3,0.7875,0.810810810810811,0.767441860465116,0.75,0.779220779220779,0.576624042148485,0.883720930232558,0.136716417468499,0.429390366271495,0.789126335637964,30,33,10,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,2,13120202,"rf_500_arvores_mtry_3",500,3,0.790123456790123,0.756756756756757,0.818181818181818,0.777777777777778,0.767123287671233,0.576356428077914,0.875921375921376,0.143485986092544,0.441591641582451,0.787469287469287,28,36,8,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,3,13120203,"rf_500_arvores_mtry_3",500,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.904791154791155,0.128715467682918,0.408618294299493,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,1,13120301,"rf_300_arvores_mtry_4",300,4,0.7875,0.810810810810811,0.767441860465116,0.75,0.779220779220779,0.576624042148485,0.882463859208045,0.138720394578294,0.435633026512652,0.789126335637964,30,33,10,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,2,13120302,"rf_300_arvores_mtry_4",300,4,0.790123456790123,0.756756756756757,0.818181818181818,0.777777777777778,0.767123287671233,0.576356428077914,0.878378378378378,0.143826532485757,0.436972466333921,0.787469287469287,28,36,8,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,3,13120303,"rf_300_arvores_mtry_4",300,4,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.89987714987715,0.12841083429049,0.407906549112259,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,1,13120401,"rf_500_arvores_mtry_4",500,4,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.881835323695789,0.139565202036714,0.437696060746262,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,2,13120402,"rf_500_arvores_mtry_4",500,4,0.802469135802469,0.783783783783784,0.818181818181818,0.783783783783784,0.783783783783784,0.601965601965602,0.873464373464373,0.144695350822485,0.439815225988682,0.800982800982801,29,36,8,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,3,13120403,"rf_500_arvores_mtry_4",500,4,0.814814814814815,0.702702702702703,0.909090909090909,0.866666666666667,0.776119402985075,0.63108291477782,0.89987714987715,0.129416090322536,0.40742260513036,0.805896805896806,26,40,4,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,1,13130101,"rf_300_arvores_mtry_3",300,3,0.814814814814815,0.72972972972973,0.886363636363636,0.84375,0.782608695652174,0.627770210843286,0.887592137592138,0.137292265527507,0.424606429745681,0.808046683046683,27,39,5,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,2,13130102,"rf_300_arvores_mtry_3",300,3,0.851851851851852,0.783783783783784,0.909090909090909,0.878787878787879,0.828571428571429,0.702432036668345,0.901105651105651,0.127566787693842,0.404533278446067,0.846437346437346,29,40,4,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,3,13130103,"rf_300_arvores_mtry_3",300,3,0.901234567901235,0.891891891891892,0.909090909090909,0.891891891891892,0.891891891891892,0.800982800982801,0.964373464373464,0.0897838498895417,0.304725469558912,0.9004914004914,33,40,4,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,1,13130201,"rf_500_arvores_mtry_3",500,3,0.827160493827161,0.756756756756757,0.886363636363636,0.848484848484849,0.8,0.651991438290565,0.888206388206388,0.135876868267024,0.419477302831377,0.821560196560197,28,39,5,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,2,13130202,"rf_500_arvores_mtry_3",500,3,0.864197530864197,0.783783783783784,0.931818181818182,0.90625,0.840579710144927,0.729164801228742,0.901105651105651,0.128415167963368,0.404893992563414,0.857800982800983,29,41,3,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,3,13130203,"rf_500_arvores_mtry_3",500,3,0.888888888888889,0.891891891891892,0.886363636363636,0.868421052631579,0.88,0.776825348434559,0.966216216216216,0.0906189614280773,0.306333872808873,0.889127764127764,33,39,5,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,1,13130301,"rf_300_arvores_mtry_4",300,4,0.839506172839506,0.783783783783784,0.886363636363636,0.852941176470588,0.816901408450704,0.676408665650234,0.884520884520885,0.136398145983611,0.42102893556447,0.83507371007371,29,39,5,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,2,13130302,"rf_300_arvores_mtry_4",300,4,0.851851851851852,0.756756756756757,0.931818181818182,0.903225806451613,0.823529411764706,0.705687725026608,0.91031941031941,0.122471807064283,0.388458247555949,0.844287469287469,28,41,3,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,3,13130303,"rf_300_arvores_mtry_4",300,4,0.851851851851852,0.864864864864865,0.840909090909091,0.82051282051282,0.842105263157895,0.703616280422696,0.958230958230958,0.0915987947909383,0.307410148596785,0.852886977886978,32,37,7,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,1,13130401,"rf_500_arvores_mtry_4",500,4,0.839506172839506,0.783783783783784,0.886363636363636,0.852941176470588,0.816901408450704,0.676408665650234,0.886977886977887,0.136755684142661,0.421391196957428,0.83507371007371,29,39,5,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,2,13130402,"rf_500_arvores_mtry_4",500,4,0.864197530864197,0.783783783783784,0.931818181818182,0.90625,0.840579710144927,0.729164801228742,0.900491400491401,0.126970927407407,0.403636934801813,0.857800982800983,29,41,3,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,3,13130403,"rf_500_arvores_mtry_4",500,4,0.91358024691358,0.918918918918919,0.909090909090909,0.894736842105263,0.906666666666667,0.826488216014037,0.963759213759214,0.0887312416491388,0.298734103258418,0.914004914004914,34,40,4,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,1,13140101,"rf_300_arvores_mtry_3",300,3,0.814814814814815,0.702702702702703,0.909090909090909,0.866666666666667,0.776119402985075,0.63108291477782,0.882063882063882,0.143299221443648,0.446716074475191,0.805896805896806,26,40,4,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,2,13140102,"rf_300_arvores_mtry_3",300,3,0.753086419753086,0.736842105263158,0.767441860465116,0.736842105263158,0.736842105263158,0.504283965728274,0.840881272949816,0.163546633729787,0.49612390432536,0.752141982864137,28,33,10,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,3,13140103,"rf_300_arvores_mtry_3",300,3,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.914004914004914,0.126709415454814,0.398829595344932,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,1,13140201,"rf_500_arvores_mtry_3",500,3,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.895577395577396,0.1374984706065,0.428397374274825,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,2,13140202,"rf_500_arvores_mtry_3",500,3,0.753086419753086,0.763157894736842,0.744186046511628,0.725,0.743589743589744,0.506415022664086,0.848837209302326,0.159897262159253,0.485671878832967,0.753671970624235,29,32,11,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,3,13140203,"rf_500_arvores_mtry_3",500,3,0.814814814814815,0.72972972972973,0.886363636363636,0.84375,0.782608695652174,0.627770210843286,0.912776412776413,0.126766316003483,0.400163789671093,0.808046683046683,27,39,5,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,1,13140301,"rf_300_arvores_mtry_4",300,4,0.814814814814815,0.702702702702703,0.909090909090909,0.866666666666667,0.776119402985075,0.63108291477782,0.884520884520885,0.139174479435554,0.429706805630563,0.805896805896806,26,40,4,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,2,13140302,"rf_300_arvores_mtry_4",300,4,0.740740740740741,0.710526315789474,0.767441860465116,0.72972972972973,0.72,0.478848142957688,0.834761321909425,0.169329618454286,0.512473693380508,0.738984088127295,27,33,10,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,3,13140303,"rf_300_arvores_mtry_4",300,4,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.91953316953317,0.122182989453549,0.384938633276315,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,1,13140401,"rf_500_arvores_mtry_4",500,4,0.827160493827161,0.756756756756757,0.886363636363636,0.848484848484849,0.8,0.651991438290565,0.883292383292383,0.141169458653494,0.435794323415692,0.821560196560197,28,39,5,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,2,13140402,"rf_500_arvores_mtry_4",500,4,0.765432098765432,0.763157894736842,0.767441860465116,0.743589743589744,0.753246753246753,0.529951496248598,0.834761321909425,0.164298929492455,0.501098007043826,0.765299877600979,29,33,10,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,3,13140403,"rf_500_arvores_mtry_4",500,4,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.907862407862408,0.12694969691358,0.396915417308636,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150101,"rf_300_arvores_mtry_3",300,3,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.909090909090909,0.120366119189885,0.386661303332313,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,2,13150102,"rf_300_arvores_mtry_3",300,3,0.8625,0.72972972972973,0.976744186046512,0.964285714285714,0.830769230769231,0.738500058280303,0.928975487115022,0.11421577295706,0.369688452773929,0.853236957888121,27,42,1,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,3,13150103,"rf_300_arvores_mtry_3",300,3,0.814814814814815,0.837837837837838,0.795454545454545,0.775,0.805194805194805,0.630971206087289,0.901719901719902,0.133649970398993,0.424218333832094,0.816646191646192,31,35,9,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150201,"rf_500_arvores_mtry_3",500,3,0.851851851851852,0.783783783783784,0.909090909090909,0.878787878787879,0.828571428571429,0.702432036668345,0.906019656019656,0.122023508804487,0.391084117059566,0.846437346437346,29,40,4,8,0,0
