"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","numero_arvores","variaveis_por_divisao","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,"rf_300_arvores_mtry_3",300,3,0.80570987654321,0.756756756756757,0.84707540521494,0.817467334708714,0.782821000196631,0.612586497633484,0.904015008666171,0.129831183037769,0.407955441675148,0.801916080985848,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,"rf_500_arvores_mtry_3",500,3,0.797376543209876,0.765765765765766,0.823819591261452,0.799874742116121,0.778195488721805,0.597424139978479,0.904414985810335,0.130763635825467,0.410965209248969,0.794792678513609,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,"rf_500_arvores_mtry_4",500,4,0.797427983539095,0.756756756756757,0.831747709654686,0.796960797809694,0.774735912382971,0.593441739144815,0.896196407824315,0.131996216466122,0.413417517710977,0.794252233205722,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,"rf_300_arvores_mtry_4",300,4,0.789146090534979,0.747747747747748,0.824171952078929,0.787280701754386,0.765995632320826,0.576184862455115,0.892472811077462,0.134592120178013,0.41819629981494,0.785959849913338,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,"rf_500_arvores_mtry_4",500,4,0.797427983539095,0.756756756756757,0.831571529245948,0.798013398013398,0.774353693835234,0.594297835329843,0.885058949012437,0.137892214393912,0.428311297288435,0.794164143001352,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,"rf_300_arvores_mtry_3",300,3,0.797479423868313,0.756756756756757,0.831747709654686,0.79521711864666,0.773940999823353,0.593084189519455,0.884011389825343,0.138155679146706,0.430142621430107,0.794252233205722,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,"rf_500_arvores_mtry_3",500,3,0.793364197530864,0.756756756756757,0.82399577167019,0.788829151732378,0.770349983081651,0.585562187161556,0.888144486981696,0.13630595708132,0.426533434051146,0.790376264213474,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,"rf_300_arvores_mtry_4",300,4,0.793364197530864,0.756756756756757,0.82399577167019,0.788829151732378,0.770349983081651,0.585562187161556,0.886906462487858,0.136985920451514,0.426837347319611,0.790376264213474,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,"rf_500_arvores_mtry_4",500,4,0.872427983539095,0.828828828828829,0.909090909090909,0.884642672858617,0.854715928420766,0.744020560964338,0.917076167076167,0.117485951066402,0.374587411672553,0.868959868959869,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,"rf_500_arvores_mtry_3",500,3,0.860082304526749,0.810810810810811,0.901515151515151,0.874385300372142,0.840193236714976,0.719327195984622,0.918509418509418,0.118303665886156,0.376901722734554,0.856162981162981,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,"rf_300_arvores_mtry_3",300,3,0.8559670781893,0.801801801801802,0.901515151515151,0.87147659022659,0.834357338705165,0.71039501616481,0.917690417690418,0.118214301036964,0.37795505925022,0.851658476658477,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,"rf_300_arvores_mtry_4",300,4,0.847736625514403,0.801801801801802,0.886363636363636,0.858893267811674,0.827512027791102,0.69523755703318,0.917690417690418,0.116822915946277,0.372299110572401,0.844082719082719,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,"rf_500_arvores_mtry_3",500,3,0.802469135802469,0.749881460407776,0.846546863988724,0.814583333333333,0.779264214046823,0.604217579847795,0.885730339218711,0.141387349589746,0.438077680926295,0.79821416219825,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,"rf_500_arvores_mtry_4",500,4,0.798353909465021,0.740872451398767,0.846723044397463,0.810261423164649,0.772650878533231,0.595216341932477,0.875305371021405,0.14413936168651,0.444602582589385,0.793797747898115,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,"rf_300_arvores_mtry_3",300,3,0.790123456790123,0.714082503556188,0.854298801973221,0.814072816449727,0.759222463533725,0.57969099058812,0.878983356339538,0.14451842354275,0.447223191381828,0.784190652764704,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,"rf_300_arvores_mtry_4",300,4,0.786008230452675,0.705310573731626,0.854298801973221,0.81170202460525,0.753608428446005,0.571212382997925,0.87960512532116,0.143562362447796,0.442373044095795,0.779804687852424,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,"rf_500_arvores_mtry_3",500,3,0.855452674897119,0.810810810810811,0.893763213530655,0.876673135293825,0.837499771676987,0.716148052767643,0.912876407062454,0.122960548353199,0.39535347424992,0.852287012170733,1,TRUE
