"Protocolo","Execucao","Base","Algoritmo","Metrica","Media","DP","N_Avaliacoes","Unidade_Agregacao"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Acuracia",0.816138433515483,0.0545189286513378,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Sensibilidade",0.784303350970018,0.108733131853183,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Especificidade",0.843308080808081,0.0763285660954427,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Precisao",0.815443149932549,0.0735975413649856,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","F1",0.794219455912855,0.0662766380126234,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","MCC",0.635386959388709,0.110374974703568,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","ROC_AUC",0.902125003340281,0.0302411526016628,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Brier",0.12993156155401,0.0181107811482325,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Log_Loss",0.40948084746838,0.0442879202820486,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Acuracia_Balanceada",0.813805715889049,0.0565875741087684,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Tempo_Selecao_Segundos",0.440453259150187,0.156654784026478,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Tempo_Reajuste_Segundos",0.0321501731872559,0.00666211144563037,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Tempo_Predicao_Segundos",0.00788766543070475,0.00136053480309952,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest","Tempo_Total_Fold_Segundos",0.481561867396037,0.155292651135917,15,"fold_externo"
