"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","custo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,20260804,310101,14110299,242,61,"svm_custo_1",0.678844501434385,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,20260804,310102,14120299,242,61,"svm_custo_1",0.628597278887618,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,20260804,310103,14130399,243,60,"svm_custo_10",0.722101628026056,10
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,20260804,310104,14140299,243,60,"svm_custo_1",0.627632680281994,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,20260804,310105,14150299,242,61,"svm_custo_1",0.708240467582466,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,20260805,310201,14210299,243,60,"svm_custo_1",0.699676817423529,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,20260805,310202,14220399,242,61,"svm_custo_10",0.714745908885372,10
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,3,20260805,310203,14230199,242,61,"svm_custo_0.1",0.611967982832316,0.1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,4,20260805,310204,14240199,243,60,"svm_custo_0.1",0.622845198369978,0.1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,5,20260805,310205,14250299,242,61,"svm_custo_1",0.616580542418767,1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,1,20260806,310301,14310399,242,61,"svm_custo_10",0.626269354763288,10
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,2,20260806,310302,14320199,243,60,"svm_custo_0.1",0.710211581182041,0.1
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,3,20260806,310303,14330399,242,61,"svm_custo_10",0.671425012509463,10
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,4,20260806,310304,14340399,242,61,"svm_custo_10",0.644389296725169,10
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,5,20260806,310305,14350299,243,60,"svm_custo_1",0.615740320988476,1
