"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,1,14110101,"svm_custo_0.1",0.1,0.7625,0.702702702702703,0.813953488372093,0.764705882352941,0.732394366197183,0.521096736570206,0.849151477058454,0.157292559502192,0.469766951296957,0.758328095537398,26,35,8,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,2,14110102,"svm_custo_0.1",0.1,0.839506172839506,0.864864864864865,0.818181818181818,0.8,0.831168831168831,0.680543143713934,0.908476658476658,0.124423984088074,0.395843996181904,0.841523341523342,32,36,8,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,3,14110103,"svm_custo_0.1",0.1,0.851851851851852,0.756756756756757,0.931818181818182,0.903225806451613,0.823529411764706,0.705687725026608,0.917690417690418,0.113015406146714,0.364209053991571,0.844287469287469,28,41,3,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,1,14110201,"svm_custo_1",1,0.8125,0.72972972972973,0.883720930232558,0.84375,0.782608695652174,0.624337067230277,0.869893148962916,0.141297126312185,0.435924411745852,0.806725329981144,27,38,5,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,2,14110202,"svm_custo_1",1,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.906019656019656,0.122896589978433,0.396869412890803,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,3,14110203,"svm_custo_1",1,0.864197530864197,0.756756756756757,0.954545454545455,0.933333333333333,0.835820895522388,0.733728931036863,0.926289926289926,0.10598664420812,0.350326594301423,0.855651105651106,28,42,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,1,14110301,"svm_custo_10",10,0.825,0.72972972972973,0.906976744186046,0.870967741935484,0.794117647058823,0.651621595056995,0.873664362036455,0.140518151511709,0.434504459946383,0.818353236957888,27,39,4,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,2,14110302,"svm_custo_10",10,0.790123456790123,0.72972972972973,0.840909090909091,0.794117647058823,0.76056338028169,0.575970348660924,0.891891891891892,0.135057546856397,0.419100609755891,0.78531941031941,27,37,7,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,3,14110303,"svm_custo_10",10,0.876543209876543,0.783783783783784,0.954545454545455,0.935483870967742,0.852941176470588,0.756678541910779,0.914004914004914,0.11306599422053,0.374710589135992,0.869164619164619,29,42,2,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,1,14120101,"svm_custo_0.1",0.1,0.8,0.837837837837838,0.767441860465116,0.75609756097561,0.794871794871795,0.603763654098064,0.92394720301697,0.111812576096332,0.350260775989164,0.802639849151477,31,33,10,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,2,14120102,"svm_custo_0.1",0.1,0.777777777777778,0.756756756756757,0.795454545454545,0.756756756756757,0.756756756756757,0.552211302211302,0.860565110565111,0.155095023521412,0.48535991056537,0.776105651105651,28,35,9,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,3,14120103,"svm_custo_0.1",0.1,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.90970515970516,0.117022616973012,0.381227132864958,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,1,14120201,"svm_custo_1",1,0.8375,0.864864864864865,0.813953488372093,0.8,0.831168831168831,0.676906484261265,0.935260842237586,0.108005785222007,0.35100557049848,0.839409176618479,32,35,8,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,2,14120202,"svm_custo_1",1,0.765432098765432,0.72972972972973,0.795454545454545,0.75,0.73972602739726,0.526479429494249,0.868550368550369,0.150628563196654,0.460993198514377,0.762592137592138,27,35,9,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,3,14120203,"svm_custo_1",1,0.839506172839506,0.72972972972973,0.931818181818182,0.9,0.805970149253731,0.682405922907341,0.909090909090909,0.114372099499259,0.379255797035655,0.830773955773956,27,41,3,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,1,14120301,"svm_custo_10",10,0.825,0.810810810810811,0.837209302325581,0.810810810810811,0.810810810810811,0.648020113136392,0.931489629164048,0.116701973082747,0.383306866750845,0.824010056568196,30,36,7,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,2,14120302,"svm_custo_10",10,0.753086419753086,0.702702702702703,0.795454545454545,0.742857142857143,0.722222222222222,0.500934237917233,0.845823095823096,0.160938208424411,0.48829426042783,0.749078624078624,26,35,9,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,3,14120303,"svm_custo_10",10,0.851851851851852,0.72972972972973,0.954545454545455,0.931034482758621,0.818181818181818,0.710979894698032,0.897420147420147,0.124254927069825,0.408389788596726,0.842137592137592,27,42,2,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,1,14130101,"svm_custo_0.1",0.1,0.814814814814815,0.72972972972973,0.886363636363636,0.84375,0.782608695652174,0.627770210843286,0.900491400491401,0.129058000611547,0.397781150869001,0.808046683046683,27,39,5,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,2,14130102,"svm_custo_0.1",0.1,0.864197530864197,0.72972972972973,0.977272727272727,0.964285714285714,0.830769230769231,0.740510418057643,0.917076167076167,0.116753035646547,0.381157681713646,0.853501228501228,27,43,1,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,3,14130103,"svm_custo_0.1",0.1,0.888888888888889,0.945945945945946,0.840909090909091,0.833333333333333,0.886075949367089,0.784449482351152,0.953316953316953,0.091970831149109,0.309782474114603,0.893427518427518,35,37,7,2,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,1,14130201,"svm_custo_1",1,0.777777777777778,0.702702702702703,0.840909090909091,0.787878787878788,0.742857142857143,0.551110241535005,0.881449631449631,0.142232209017256,0.429037924830786,0.771805896805897,26,37,7,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,2,14130202,"svm_custo_1",1,0.839506172839506,0.72972972972973,0.931818181818182,0.9,0.805970149253731,0.682405922907341,0.925061425061425,0.11411109131202,0.372490667456411,0.830773955773956,27,41,3,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,3,14130203,"svm_custo_1",1,0.888888888888889,0.918918918918919,0.863636363636364,0.85,0.883116883116883,0.779687018967222,0.961302211302211,0.0871313158521071,0.286384127107758,0.891277641277641,34,38,6,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,1,14130301,"svm_custo_10",10,0.790123456790123,0.648648648648649,0.909090909090909,0.857142857142857,0.738461538461539,0.584173292438176,0.884520884520885,0.138413238647311,0.437796563091699,0.778869778869779,24,40,4,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,2,14130302,"svm_custo_10",10,0.876543209876543,0.810810810810811,0.931818181818182,0.909090909090909,0.857142857142857,0.752872635046125,0.968673218673219,0.0831874649888823,0.285056834372437,0.871314496314496,30,41,3,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,3,14130303,"svm_custo_10",10,0.91358024691358,0.945945945945946,0.886363636363636,0.875,0.909090909090909,0.829258956593867,0.964373464373464,0.0843983308303311,0.289005657051158,0.916154791154791,35,39,5,2,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,1,14140101,"svm_custo_0.1",0.1,0.777777777777778,0.783783783783784,0.772727272727273,0.743589743589744,0.763157894736842,0.554809704145311,0.891277641277641,0.134023587845198,0.420997482917074,0.778255528255528,29,34,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,2,14140102,"svm_custo_0.1",0.1,0.753086419753086,0.710526315789474,0.790697674418605,0.75,0.72972972972973,0.503385113831763,0.862913096695226,0.154640765219126,0.467727978311601,0.750611995104039,27,34,9,11,0,0
