"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","custo","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,"svm_custo_1",1,0.838734567901235,0.747747747747748,0.915785764622974,0.884027777777778,0.810007931357704,0.678844501434385,0.9007342437575,0.123393453499579,0.394373472979359,0.831766756185361,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,"svm_custo_10",10,0.830555555555555,0.747747747747748,0.900810429880197,0.86685641998735,0.802540734603701,0.661423495209566,0.893187055977754,0.129547230862879,0.409438552946089,0.824279088813972,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,"svm_custo_0.1",0.1,0.817952674897119,0.774774774774775,0.854651162790698,0.822643896268185,0.795697536376907,0.635775868436916,0.891772851075177,0.131577316578993,0.409940000490144,0.814712968782736,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,"svm_custo_1",1,0.814146090534979,0.774774774774775,0.84707540521494,0.816666666666667,0.792288335939941,0.628597278887618,0.904300706626288,0.124335482639306,0.397084855349504,0.810925089994857,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,"svm_custo_10",10,0.809979423868313,0.747747747747748,0.862403100775194,0.828234145475525,0.783738283738284,0.619978081917219,0.891577624135764,0.133965036192328,0.4266636385918,0.805075424261471,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,"svm_custo_0.1",0.1,0.805761316872428,0.783783783783784,0.82399577167019,0.795951439244122,0.787740918175701,0.611480820781793,0.898072491095747,0.127976738863585,0.405615939806497,0.803889777726987,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,"svm_custo_10",10,0.860082304526749,0.801801801801802,0.909090909090909,0.880411255411255,0.834898434898435,0.722101628026056,0.939189189189189,0.101999678155508,0.337286351505098,0.855446355446355,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,"svm_custo_0.1",0.1,0.8559670781893,0.801801801801802,0.901515151515151,0.880456349206349,0.833151291929498,0.717576703750694,0.923628173628174,0.112593955802401,0.362907102232417,0.851658476658477,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,"svm_custo_1",1,0.835390946502058,0.783783783783784,0.878787878787879,0.845959595959596,0.810648058409252,0.671067727803189,0.922604422604423,0.114491538727128,0.362637573131652,0.831285831285831,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,"svm_custo_1",1,0.814814814814815,0.768610715979137,0.854651162790698,0.818431997998561,0.791851851851852,0.627632680281994,0.882886391454323,0.139993890511113,0.433337249658919,0.811630939384917,1,TRUE
