"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero","Tempo_Selecao_Segundos","Tempo_Reajuste_Segundos","Tempo_Predicao_Segundos","Tempo_Total_Fold_Segundos","Status"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,1,20260804,310101,14110299,242,61,"svm_custo_1",0.678844501434385,0.901639344262295,0.892857142857143,0.909090909090909,0.892857142857143,0.892857142857143,0.801948051948052,0.942640692640693,0.0898575666058662,0.310454960594886,0.900974025974026,25,30,3,3,0,0,0.235487937927246,0.0104258060455322,0.00253009796142578,0.24950098991394,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,2,20260804,310102,14120299,242,61,"svm_custo_1",0.628597278887618,0.852459016393443,0.785714285714286,0.909090909090909,0.88,0.830188679245283,0.704008313606953,0.890692640692641,0.126174310778133,0.387561572031162,0.847402597402597,22,30,3,6,0,0,0.1232590675354,0.00868892669677734,0.00537896156311035,0.13829517364502,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,3,20260804,310103,14130399,243,60,"svm_custo_10",0.722101628026056,0.716666666666667,0.571428571428571,0.84375,0.761904761904762,0.653061224489796,0.434257156377408,0.834821428571429,0.191001618213874,0.614860472476942,0.707589285714286,16,27,5,12,0,0,0.115586996078491,0.0186069011688232,0.00256085395812988,0.137784004211426,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,20260804,310104,14140299,243,60,"svm_custo_1",0.627632680281994,0.883333333333333,0.962962962962963,0.818181818181818,0.8125,0.88135593220339,0.778962198557868,0.967452300785634,0.0957637722576158,0.310047803989513,0.890572390572391,26,27,6,1,0,0,0.126792907714844,0.00871014595031738,0.00237011909484863,0.138970136642456,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,20260804,310105,14150299,242,61,"svm_custo_1",0.708240467582466,0.786885245901639,0.714285714285714,0.848484848484849,0.8,0.754716981132076,0.570224802298467,0.866883116883117,0.14912547435602,0.446515807137404,0.781385281385281,20,28,5,8,0,0,0.138725996017456,0.00858592987060547,0.00232791900634766,0.15064001083374,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,20260805,310201,14210299,243,60,"svm_custo_1",0.699676817423529,0.783333333333333,0.777777777777778,0.787878787878788,0.75,0.763636363636364,0.564076074817766,0.882154882154882,0.14016994414063,0.422836941533091,0.782828282828283,21,26,7,6,0,0,0.124260902404785,0.0100748538970947,0.00260400772094727,0.138062000274658,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,20260805,310202,14220399,242,61,"svm_custo_10",0.714745908885372,0.80327868852459,0.714285714285714,0.878787878787879,0.833333333333333,0.769230769230769,0.604975921831494,0.859307359307359,0.148993390882855,0.447598079154391,0.796536796536797,20,29,4,8,0,0,0.118859052658081,0.0253448486328125,0.00246405601501465,0.147601127624512,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,3,20260805,310203,14230199,242,61,"svm_custo_0.1",0.611967982832316,0.852459016393443,0.892857142857143,0.818181818181818,0.806451612903226,0.847457627118644,0.708741575514664,0.91991341991342,0.11600412927542,0.375224902400199,0.855519480519481,25,27,6,3,0,0,0.107850074768066,0.00752592086791992,0.00310921669006348,0.119425058364868,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,4,20260805,310204,14240199,243,60,"svm_custo_0.1",0.622845198369978,0.866666666666667,0.821428571428571,0.90625,0.884615384615385,0.851851851851852,0.732600917770931,0.926339285714286,0.100631767683224,0.334970725517444,0.863839285714286,23,29,3,5,0,0,0.12703800201416,0.00802803039550781,0.0024101734161377,0.138588905334473,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,5,20260805,310205,14250299,242,61,"svm_custo_1",0.616580542418767,0.868852459016393,0.714285714285714,1,1,0.833333333333333,0.758230104906197,0.91017316017316,0.11549596156145,0.384064839913839,0.857142857142857,20,33,0,8,0,0,0.121020078659058,0.0100908279418945,0.00243282318115234,0.134573936462402,"completo"
