"Protocolo","Execucao","Base","Algoritmo","Metrica","Media","DP","N_Avaliacoes","Unidade_Agregacao"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Acuracia",0.824954462659381,0.0511862858693624,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Sensibilidade",0.779717813051146,0.1009445441026,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Especificidade",0.863573232323232,0.0688488247580044,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Precisao",0.834059817827947,0.0729105348143319,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","F1",0.801556388060878,0.0634872817133274,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","MCC",0.652358786831748,0.10519897646387,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","ROC_AUC",0.898331446074502,0.0402724292712221,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Brier",0.129254042950432,0.0292185760025209,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Log_Loss",0.410297857100755,0.0837780897901118,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Acuracia_Balanceada",0.821645522687189,0.0529588880745358,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Tempo_Selecao_Segundos",0.131787331899007,0.030485778953068,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Tempo_Reajuste_Segundos",0.0137352148691813,0.00760499724009065,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Tempo_Predicao_Segundos",0.00273893674214681,0.000757723853037385,15,"fold_externo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm","Tempo_Total_Fold_Segundos",0.149298493067424,0.0310301642990033,15,"fold_externo"
