"Repeticao","Semente","id","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"arvore_cp_0.005_profundidade_3",0.005,3,0.778877887788779,0.733812949640288,0.817073170731707,0.772727272727273,0.752767527675277,0.553612813957013,0.789305141252851,0.178736038545194,0.56631857326563,0.775443060185998,102,134,30,37,0.0529141426086426
1,20260804,"arvore_cp_0.01_profundidade_3",0.01,3,0.778877887788779,0.733812949640288,0.817073170731707,0.772727272727273,0.752767527675277,0.553612813957013,0.789305141252851,0.178736038545194,0.56631857326563,0.775443060185998,102,134,30,37,0.030364990234375
1,20260804,"arvore_cp_0.02_profundidade_3",0.02,3,0.778877887788779,0.733812949640288,0.817073170731707,0.772727272727273,0.752767527675277,0.553612813957013,0.789305141252851,0.178736038545194,0.56631857326563,0.775443060185998,102,134,30,37,0.022374153137207
1,20260804,"arvore_cp_0.005_profundidade_5",0.005,5,0.792079207920792,0.762589928057554,0.817073170731707,0.779411764705882,0.770909090909091,0.580734047230094,0.795446569573609,0.173910070382442,0.558410219051438,0.789831549394631,106,134,30,33,0.0254240036010742
1,20260804,"arvore_cp_0.01_profundidade_5",0.01,5,0.778877887788779,0.755395683453237,0.798780487804878,0.760869565217391,0.75812274368231,0.554492474940109,0.796609054220039,0.177331803499231,0.56158933934702,0.777088085629058,105,131,33,34,0.022136926651001
1,20260804,"arvore_cp_0.02_profundidade_5",0.02,5,0.778877887788779,0.733812949640288,0.817073170731707,0.772727272727273,0.752767527675277,0.553612813957013,0.789305141252851,0.178736038545194,0.56631857326563,0.775443060185998,102,134,30,37,0.0259778499603271
2,20260805,"arvore_cp_0.005_profundidade_3",0.005,3,0.782178217821782,0.733812949640288,0.823170731707317,0.778625954198473,0.755555555555556,0.560237175960485,0.822205650114055,0.169833505392036,0.529775367259905,0.778491840673802,102,135,29,37,0.0236718654632568
2,20260805,"arvore_cp_0.01_profundidade_3",0.01,3,0.778877887788779,0.726618705035971,0.823170731707317,0.776923076923077,0.75092936802974,0.553517030621683,0.817292507457449,0.171272519018232,0.532657436175262,0.774894718371644,101,135,29,38,0.0227248668670654
2,20260805,"arvore_cp_0.02_profundidade_3",0.02,3,0.778877887788779,0.726618705035971,0.823170731707317,0.776923076923077,0.75092936802974,0.553517030621683,0.817292507457449,0.171272519018232,0.532657436175262,0.774894718371644,101,135,29,38,0.0251920223236084
2,20260805,"arvore_cp_0.005_profundidade_5",0.005,5,0.752475247524752,0.719424460431655,0.780487804878049,0.735294117647059,0.727272727272727,0.500835871214935,0.813037374978066,0.181846542950689,0.890705425319175,0.749956132654852,100,128,36,39,0.0227949619293213
2,20260805,"arvore_cp_0.01_profundidade_5",0.01,5,0.778877887788779,0.726618705035971,0.823170731707317,0.776923076923077,0.75092936802974,0.553517030621683,0.810800140375505,0.173019519019214,0.540195257407257,0.774894718371644,101,135,29,38,0.0267610549926758
2,20260805,"arvore_cp_0.02_profundidade_5",0.02,5,0.778877887788779,0.726618705035971,0.823170731707317,0.776923076923077,0.75092936802974,0.553517030621683,0.810800140375505,0.173019519019214,0.540195257407257,0.774894718371644,101,135,29,38,0.0222840309143066
3,20260806,"arvore_cp_0.005_profundidade_3",0.005,3,0.759075907590759,0.705035971223022,0.804878048780488,0.753846153846154,0.728624535315985,0.513371256997243,0.802487278469907,0.182953344717375,0.566068211093393,0.754957010001755,98,132,32,41,0.0308191776275635
3,20260806,"arvore_cp_0.01_profundidade_3",0.01,3,0.759075907590759,0.705035971223022,0.804878048780488,0.753846153846154,0.728624535315985,0.513371256997243,0.802487278469907,0.182953344717375,0.566068211093393,0.754957010001755,98,132,32,41,0.0289609432220459
3,20260806,"arvore_cp_0.02_profundidade_3",0.02,3,0.759075907590759,0.705035971223022,0.804878048780488,0.753846153846154,0.728624535315985,0.513371256997243,0.802487278469907,0.182953344717375,0.566068211093393,0.754957010001755,98,132,32,41,0.0264451503753662
3,20260806,"arvore_cp_0.005_profundidade_5",0.005,5,0.768976897689769,0.748201438848921,0.786585365853659,0.748201438848921,0.748201438848921,0.534786804702579,0.812664502544306,0.179797027588052,0.563788540386833,0.76739340235129,104,129,35,35,0.0219318866729736
3,20260806,"arvore_cp_0.01_profundidade_5",0.01,5,0.782178217821782,0.741007194244604,0.817073170731707,0.774436090225564,0.757352941176471,0.56037117300588,0.82016581856466,0.172960659082934,0.544286292447514,0.779040182488156,103,134,30,36,0.0300390720367432
3,20260806,"arvore_cp_0.02_profundidade_5",0.02,5,0.775577557755776,0.733812949640288,0.810975609756098,0.766917293233083,0.75,0.547024807228425,0.815274609580628,0.17683578911874,0.554518127882224,0.772394279698193,102,133,31,37,0.0238001346588135
