"Metrica","Media","DP"
"Acuracia",0.77997799779978,0.00190544643296908
"Sensibilidade",0.741007194244604,0.0143884892086331
"Especificidade",0.813008130081301,0.0126930853625983
"Precisao",0.770742910788677,0.00864051446882228
"F1",0.75546835096284,0.0039496738504252
"MCC",0.556126892855891,0.00370787114100287
"ROC_AUC",0.809191671053401,0.0118604665493025
"Brier",0.174437327200459,0.00250686276172771
"Log_Loss",0.548690296400597,0.0113566334635493
"Acuracia_Balanceada",0.777007662162953,0.00207390191083056
"Tempo_Execucao_Segundos",0.0263123512268066,0.0039701356055531
