"Metrica","Media","DP"
"Acuracia",0.836083608360836,0.00504133739819124
"Sensibilidade",0.800959232613909,0.00415359905891815
"Especificidade",0.865853658536585,0.00609756097560976
"Precisao",0.835016646092844,0.00688361575701794
"F1",0.817630898513251,0.00532248595842741
"MCC",0.669374819311695,0.0101825585963915
"ROC_AUC",0.905553605895771,0.000768617979818169
"Brier",0.131906961491217,0.00114814180676729
"Log_Loss",0.516369411739549,0.00509543697308576
"Acuracia_Balanceada",0.833406445575247,0.00495731732244861
"Tempo_Execucao_Segundos",0.0350606441497803,0.0361262707102186
