"Repeticao","Semente","id","numero_arvores","variaveis_por_divisao","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"rf_300_arvores_mtry_3",300,3,0.825082508250825,0.784172661870504,0.859756097560976,0.825757575757576,0.804428044280443,0.647115981531692,0.901364274434111,0.127173566705631,0.400576638281034,0.82196437971574,109,141,23,30,1.09539008140564
1,20260804,"rf_500_arvores_mtry_3",500,3,0.821782178217822,0.776978417266187,0.859756097560976,0.824427480916031,0.8,0.640453855955457,0.899894718371644,0.127756582238278,0.401255814082946,0.818367257413581,108,141,23,31,0.235217809677124
1,20260804,"rf_300_arvores_mtry_4",300,4,0.828382838283828,0.784172661870504,0.865853658536585,0.83206106870229,0.807407407407407,0.653823302621286,0.897174942972451,0.128623690062057,0.403402543343074,0.825013160203544,109,142,22,30,0.152890920639038
1,20260804,"rf_500_arvores_mtry_4",500,4,0.831683168316832,0.79136690647482,0.865853658536585,0.833333333333333,0.811808118081181,0.660473576899503,0.902614493770837,0.126079235555095,0.397899845638942,0.828610282505703,110,142,22,29,0.233963012695312
2,20260805,"rf_300_arvores_mtry_3",300,3,0.821782178217822,0.79136690647482,0.847560975609756,0.814814814814815,0.802919708029197,0.640559740709695,0.899850851026496,0.127867668536081,0.403351821074535,0.819463941042288,110,139,25,29,0.153630971908569
2,20260805,"rf_500_arvores_mtry_3",500,3,0.818481848184819,0.79136690647482,0.841463414634146,0.808823529411765,0.8,0.633999497906866,0.899368310229865,0.128182723055182,0.405872268390604,0.816415160554483,110,138,26,29,0.230783939361572
2,20260805,"rf_300_arvores_mtry_4",300,4,0.825082508250825,0.79136690647482,0.853658536585366,0.82089552238806,0.805860805860806,0.647158140405259,0.894586769608703,0.13060152722921,0.411780093239894,0.822512721530093,110,140,24,29,0.153600931167603
2,20260805,"rf_500_arvores_mtry_4",500,4,0.834983498349835,0.805755395683453,0.859756097560976,0.82962962962963,0.817518248175182,0.667211247944166,0.897525881733637,0.128689866018914,0.406168175744574,0.832755746622214,112,141,23,27,0.24124002456665
3,20260806,"rf_300_arvores_mtry_3",300,3,0.808580858085809,0.776978417266187,0.835365853658537,0.8,0.788321167883212,0.613908233475223,0.894893841024741,0.132236876668902,0.415456439805415,0.806172135462362,108,137,27,31,0.145385980606079
3,20260806,"rf_500_arvores_mtry_3",500,3,0.798679867986799,0.76978417266187,0.823170731707317,0.786764705882353,0.778181818181818,0.594050409899287,0.893687489033164,0.132912392459353,0.414884277091456,0.796477452184594,107,135,29,32,0.232831954956055
3,20260806,"rf_300_arvores_mtry_4",300,4,0.808580858085809,0.784172661870504,0.829268292682927,0.795620437956204,0.789855072463768,0.61416881865657,0.887524127039832,0.135790632288697,0.423611427860661,0.806720477276715,109,136,28,30,0.156841993331909
3,20260806,"rf_500_arvores_mtry_4",500,4,0.801980198019802,0.776978417266187,0.823170731707317,0.788321167883212,0.782608695652174,0.600861241993745,0.891077381996841,0.133835276240013,0.417641476265969,0.800074574486752,108,135,29,31,0.240082979202271
