"Metrica","Media","DP"
"Acuracia",0.822882288228823,0.0181768004860927
"Sensibilidade",0.79136690647482,0.0143884892086331
"Especificidade",0.849593495934959,0.0230849932756109
"Precisao",0.817094710282058,0.0249873350302682
"F1",0.803978353969512,0.0187256006278157
"MCC",0.642848688945805,0.0365179179162851
"ROC_AUC",0.897072585833772,0.00578189803620253
"Brier",0.129534792604674,0.00394644998422883
"Log_Loss",0.407236499216495,0.00991407994894025
"Acuracia_Balanceada",0.82048020120489,0.0177929317287877
"Tempo_Execucao_Segundos",0.238428672154744,0.00391040589958624
