"Metrica","Media","DP"
"Acuracia",0.829482948294829,0.00687018481671993
"Sensibilidade",0.79136690647482,0.00719424460431656
"Especificidade",0.861788617886179,0.0186283564835603
"Precisao",0.829504517248534,0.0176847694440392
"F1",0.809862926663011,0.00484480935707823
"MCC",0.656207340807304,0.0137942503806508
"ROC_AUC",0.896911738901562,0.00347550098574792
"Brier",0.125562210421929,0.00235954552766486
"Log_Loss",0.39901216744078,0.00726403879303222
"Acuracia_Balanceada",0.826577762180499,0.00582169970489097
"Tempo_Execucao_Segundos",0.0607727368672689,0.00325252758064898
