"Metrica","Media","DP"
"Acuracia",0.722674051401642,0.000138527692069985
"Sensibilidade",0.653447649352307,0.00207526981647957
"Especificidade",0.790446796850212,0.00177831061083948
"Precisao",0.753260589970452,0.00099094514906578
"F1",0.699810669371807,0.000766939312970181
"MCC",0.448396793497476,0.000117676849743993
"ROC_AUC",0.74949740617762,0.00121029184018056
"Brier",0.195353240643877,0.000164590235498868
"Log_Loss",0.57845296586012,0.000383908343222258
"Acuracia_Balanceada",0.72194722310126,0.000157618095999962
"Tempo_Execucao_Segundos",0.682613054911296,0.0580636344002986
