"Metrica","Media","DP"
"Acuracia",0.719909634164116,5.83005392800207e-05
"Sensibilidade",0.622069669917406,0.000111544706909025
"Especificidade",0.815695097445364,4.40602622415474e-05
"Precisao",0.767676644056648,5.18034041030155e-05
"F1",0.687245362647892,8.16989910319741e-05
"MCC",0.446606442692385,0.000112066059894713
"ROC_AUC",0.786859071061628,1.66500562554797e-05
"Brier",0.198304120442684,1.26919296253919e-05
"Log_Loss",0.647598780705455,7.93114243711489e-05
"Acuracia_Balanceada",0.718882383681385,5.87728092205379e-05
"Tempo_Execucao_Segundos",0.312532027562459,0.200406029806373
