"Repeticao","Semente","id","numero_arvores","variaveis_por_divisao","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"rf_300_arvores_mtry_3",300,3,0.728713015595394,0.687192481070092,0.769361677579394,0.744699872286079,0.71479137616647,0.458266603623608,0.791647203806093,0.185104934601938,0.553246526757709,0.728277079324743,23324,26673,7996,10617,187.855043172836
1,20260804,"rf_500_arvores_mtry_3",500,3,0.729616673954234,0.688636162753013,0.769736652340708,0.74540757749713,0.715898127019618,0.460050009690612,0.791868821790935,0.184981114393402,0.552885516808199,0.72918640754686,23373,26686,7983,10568,299.202600002289
1,20260804,"rf_300_arvores_mtry_4",300,4,0.724267599475295,0.692024395274152,0.755833741959676,0.735079648233343,0.712902540443743,0.4488892078871,0.784793140430381,0.188679109397085,0.563360704458742,0.723929068616914,23488,26204,8465,10453,238.845314025879
1,20260804,"rf_500_arvores_mtry_4",500,4,0.724952630811835,0.69158245190183,0.75762208312902,0.736384740870875,0.713280763328623,0.45030947652603,0.785190910286401,0.188462810149886,0.56262114655503,0.724602267515425,23473,26266,8403,10468,380.905220031738
2,20260805,"rf_300_arvores_mtry_3",300,3,0.730083078268474,0.690639639374208,0.768698260693992,0.745104895104895,0.716839192061283,0.460899765098707,0.792653383348653,0.184684020581063,0.55238150514918,0.7296689500341,23441,26650,8019,10500,186.139454126358
2,20260805,"rf_500_arvores_mtry_3",500,3,0.729937326920274,0.689402197931705,0.769621275491073,0.745523481807175,0.716365361948352,0.460668338375906,0.792946894731956,0.184548580699724,0.552017243219124,0.729511736711389,23399,26682,7987,10542,296.52091383934
2,20260805,"rf_300_arvores_mtry_4",300,4,0.724048972452995,0.692260098406058,0.755170325074274,0.734617308654327,0.712810011376564,0.448432779888439,0.785888114018176,0.188218229815562,0.562424029153855,0.723715211740166,23496,26181,8488,10445,234.68124294281
2,20260805,"rf_500_arvores_mtry_4",500,4,0.724457076227955,0.691169971420995,0.757045198880845,0.7358070384543,0.712790362031509,0.449312092769104,0.786139526329728,0.188072516253628,0.561687058976075,0.72410758515092,23459,26246,8423,10482,399.438342809677
3,20260806,"rf_300_arvores_mtry_3",300,3,0.729572948549774,0.689195957691288,0.769102079667715,0.745039334968309,0.716030487618231,0.459927686475812,0.793018151604825,0.184590968912815,0.551991940399434,0.729149018679501,23392,26664,8005,10549,172.741302013397
3,20260806,"rf_500_arvores_mtry_3",500,3,0.730301705290774,0.689991455761468,0.769765496553117,0.745804273749244,0.716813075816473,0.461387198898145,0.793559193258423,0.18430838025556,0.551135746604105,0.729878476157293,23419,26687,7982,10522,309.82014298439
3,20260806,"rf_300_arvores_mtry_4",300,4,0.724704853519895,0.691022656963554,0.757679771553838,0.736273740386125,0.712930877256976,0.449825815708214,0.786155368508379,0.188085464013108,0.561793359141873,0.724351214258696,23454,26268,8401,10487,245.331674814224
3,20260806,"rf_500_arvores_mtry_4",500,4,0.724311324879755,0.69061017648272,0.757304796792524,0.735857349155522,0.712516148643514,0.449037328783002,0.78661901451393,0.187857636093244,0.560991478422576,0.723957486637622,23440,26255,8414,10501,354.502441167831
