"Metrica","Media","DP"
"Acuracia",0.727789923723461,0.000190222727012113
"Sensibilidade",0.655637724286261,0.000235703131905352
"Especificidade",0.798427028949975,0.000308421835690768
"Precisao",0.7610118673181,0.000282938006711966
"F1",0.704405766645707,0.000198234003650925
"MCC",0.459067825344839,0.00039192737217285
"ROC_AUC",0.790900738744094,4.843253252256e-05
"Brier",0.187106830152257,2.08592611612124e-05
"Log_Loss",0.561683899651709,5.3446616527718e-05
"Acuracia_Balanceada",0.727032376618118,0.000189658458761269
"Tempo_Execucao_Segundos",6475.83123199145,3713.6640247879
